,owner,origen,weapon,platform,total,number,Status,url,primary_key,Date
6753,RU,['Russia'],Armoured Personnel Carriers,Unknown BTR-80/BTR-82A,54,44,['destroyed'],https://i.postimg.cc/NFj3N78m/1054-BTR-80-or-82-destr-04-10-23.jpg,_e5b9099f8e986307dc44,11/10/2023
6858,RU,['the Soviet Union'],Armoured Personnel Carriers,BTR-D,81,22,['captured'],https://i.postimg.cc/DwVTGSbj/1036-BTR-D-capt-07-09-22.jpg,_8481fb8853fe89e26a19,02/11/2023
7503,RU,['the Soviet Union'],Engineering Vehicles And Equipment ,BREM-1 armoured recovery vehicle,48,21,['destroyed'],https://i.postimg.cc/N0FCZBdg/1004-BREM-1-destr-27-10-23.jpg,_f700c4193ee14625264a,31/10/2023
8202,RU,['the Soviet Union'],Towed Artillery ,152mm 2A65 Msta-B howitzer,117,36,['captured'],https://i.postimg.cc/05T77GvK/1007-3x-Msta-B-capt-30-11-22.jpg,_a4c4ae24b370eca8466e,18/10/2023
8508,RU,['the Soviet Union'],Self-Propelled Artillery ,152mm 2S3(M) Akatsiya,148,109,['destroyed'],https://i.postimg.cc/fycxvHvq/1011-2-S3-destr-01-11-23.jpg,_dabf2415a9f877fd4e09,02/11/2023
12086,RU,['Russia'],"Trucks, Vehicles, and Jeeps",KamAZ 6x6,905,699,['destroyed'],https://i.postimg.cc/VNwJN4jm/1022-kamaz6x6-destr-16-10-23.jpg,_486bf45f41bec696f5d9,18/10/2023
13051,UA,['the Soviet Union'],Tanks,T-64BV,261,40,['destroyed'],https://i.postimg.cc/s2D0vSXN/6h9.png,_e88b40e77d58aeff3cbf,28/06/2022
13096,UA,['the Soviet Union'],Tanks,T-64BV,261,85,['destroyed'],https://postimg.cc/ftR1t2H2,_adb956e4f5e510d224ff,25/03/2023
13141,UA,['the Soviet Union'],Tanks,T-64BV,261,130,['destroyed'],https://i.postimg.cc/Kjztfyc8/478p.png,_43e3955536a2cc5764f0,21/04/2023
13156,UA,['the Soviet Union'],Tanks,T-64BV,261,145,['destroyed'],https://i.postimg.cc/sX2fMmN4/h.png,_55f37f2b157e2fce7a26,09/06/2023
13180,UA,['the Soviet Union'],Tanks,T-64BV,261,169,['destroyed'],https://i.postimg.cc/j5B6PBms/2016-64-BV-destr-30-10-23.jpg,_3f7f069664d0a786ee23,31/10/2023
13231,UA,['the Soviet Union'],Tanks,T-64BV,261,17,['captured'],https://i.postimg.cc/JzrNdFy7/478.png,_fc972ff67f83da7cb05e,13/04/2022
13266,UA,['the Soviet Union'],Tanks,T-64BV,261,52,"['damaged', 'captured']",https://i.postimg.cc/2yzx54QH/5542.png,_f319d4e9e3d1fc674104,11/04/2023
13337,UA,['Ukraine'],Tanks,T-64BV Zr. 2017,86,15,['captured'],https://i.postimg.cc/NFdzWLQW/f8.png,_a81b0643a01ec7a5c5d6,06/08/2022
