owner;weapon;platform;;;;;;;;owner;;weapon;;platform;;Status
RU;Engineering Vehicles And Equipment ;ISDM Zemledeliye remote mine-laying system;;;;;;;;;;;;ISDM Zemledeliye remote mine-laying system;;
RU;Engineering Vehicles And Equipment ;ZiL-131 UMZ mine laying vehicle;;;;;;;;;;;;ZiL-131 UMZ mine laying vehicle;;
RU;Engineering Vehicles And Equipment ;TDA-3 mobile smoke generator;;;;;;;;;;;;TDA-3 mobile smoke generator;;
RU;Engineering Vehicles And Equipment ;APA-80 engine starting vehicle;;;;;;;;;;;;APA-80 engine starting vehicle;;
RU;Engineering Vehicles And Equipment ;MZA-M.1 battery charge and repair workshop;;;;;;;;;;;;MZA-M.1 battery charge and repair workshop;;
RU;Self-Propelled Anti-Tank Missile Systems;9P148 Konkurs;;;;;;;;;;;;9P148 Konkurs;;
RU;Self-Propelled Anti-Tank Missile Systems;9P149 Shturm-S;;;;;;;;;;;;9P149 Shturm-S;;
RU;Self-Propelled Anti-Tank Missile Systems;9P163M-1 Kornet-T;;;;;;;;;;;;9P163M-1 Kornet-T;;
RU;Artillery Support Vehicles And Equipment;1V110 BM-21 Grad battery command vehicle;;;;;;;;;;;;1V110 BM-21 Grad battery command vehicle;;
RU;Artillery Support Vehicles And Equipment;1V13(M) battery fire control center;;;;;;;;;;;;1V13(M) battery fire control center;;
RU;Artillery Support Vehicles And Equipment;1V14 battery command and forward observer vehicle;;;;;;;;;;;;1V14 battery command and forward observer vehicle;;
RU;Artillery Support Vehicles And Equipment;1V15M fire control and observation vehicle;;;;;;;;;;;;1V15M fire control and observation vehicle;;
RU;Artillery Support Vehicles And Equipment;1V16battalion fire direction vehicle;;;;;;;;;;;;1V16battalion fire direction vehicle;;
RU;Artillery Support Vehicles And Equipment;1V18 'Klyon-1' artillery command and forward observer vehicle;;;;;;;;;;;;1V18 'Klyon-1' artillery command and forward observer vehicle;;
RU;Artillery Support Vehicles And Equipment;1V119 artillery fire direction vehicle;;;;;;;;;;;;1V119 artillery fire direction vehicle;;
RU;Artillery Support Vehicles And Equipment;1V1003 command and observation vehicle (for 1V198 artillery fire control system);;;;;;;;;;;;1V1003 command and observation vehicle (for 1V198 artillery fire control system);;
RU;Artillery Support Vehicles And Equipment;9T452 transporter-loader (for BM-27 Uragan MRL);;;;;;;;;;;;9T452 transporter-loader (for BM-27 Uragan MRL);;
RU;Artillery Support Vehicles And Equipment;TZM 9T234-2 transporter-loader (for BM-30 Smerch);;;;;;;;;;;;TZM 9T234-2 transporter-loader (for BM-30 Smerch);;
RU;Artillery Support Vehicles And Equipment;TZM-T reloader vehicle (for TOS-1A);;;;;;;;;;;;TZM-T reloader vehicle (for TOS-1A);;
RU;Artillery Support Vehicles And Equipment;PRP-4(M) artillery reconnaissance vehicle;;;;;;;;;;;;PRP-4(M) artillery reconnaissance vehicle;;
RU;Artillery Support Vehicles And Equipment;PRP-4A Argus artillery reconnaissance vehicle;;;;;;;;;;;;PRP-4A Argus artillery reconnaissance vehicle;;
RU;Towed Artillery ;82mm 2B9 Vasilek automatic gun mortar;;;;;;;;;;;;82mm 2B9 Vasilek automatic gun mortar;;
RU;Towed Artillery ;100mm MT-12 anti-tank gun;;;;;;;;;;;;100mm MT-12 anti-tank gun;;
RU;Towed Artillery ;120mm 2B16 Nona-K gun mortar;;;;;;;;;;;;120mm 2B16 Nona-K gun mortar;;
RU;Towed Artillery ;122mm D-30 howitzer;;;;;;;;;;;;122mm D-30 howitzer;;
RU;Towed Artillery ;152mm D-20 gun-howitzer;;;;;;;;;;;;152mm D-20 gun-howitzer;;
RU;Towed Artillery ;152mm 2A65 Msta-B howitzer;;;;;;;;;;;;152mm 2A65 Msta-B howitzer;;
RU;Towed Artillery ;152mm2A36 Giatsint-B field-gun;;;;;;;;;;;;152mm2A36 Giatsint-B field-gun;;
RU;Towed Artillery ;Unknown towed artillery;;;;;;;;;;;;Unknown towed artillery;;
RU;Self-Propelled Artillery ;120mm 2S9 Nona;;;;;;;;;;;;120mm 2S9 Nona;;
RU;Self-Propelled Artillery ;120mm 2S23 Nona-SVK;;;;;;;;;;;;120mm 2S23 Nona-SVK;;
RU;Self-Propelled Artillery ;120mm 2S34 Khosta;;;;;;;;;;;;120mm 2S34 Khosta;;
RU;Self-Propelled Artillery ;122mm 2S1 Gvozdika;;;;;;;;;;;;122mm 2S1 Gvozdika;;
RU;Self-Propelled Artillery ;152mm 2S3(M) Akatsiya;;;;;;;;;;;;152mm 2S3(M) Akatsiya;;
RU;Self-Propelled Artillery ;152mm2S5 Giatsint-S;;;;;;;;;;;;152mm2S5 Giatsint-S;;
RU;Self-Propelled Artillery ;152mm 2S19 Msta-S;;;;;;;;;;;;152mm 2S19 Msta-S;;
RU;Self-Propelled Artillery ;152mm 2S33 Msta-SM2;;;;;;;;;;;;152mm 2S33 Msta-SM2;;
RU;Self-Propelled Artillery ;203mm 2S7(M) Pion/Malka;;;;;;;;;;;;203mm 2S7(M) Pion/Malka;;
RU;Self-Propelled Artillery ;240mm 2S4 Tyulpan;;;;;;;;;;;;240mm 2S4 Tyulpan;;
RU;Self-Propelled Artillery ;Unknown SPG;;;;;;;;;;;;Unknown SPG;;
RU;Multiple Rocket Launchers ;122mm BM-21 Grad;;;;;;;;;;;;122mm BM-21 Grad;;
RU;Multiple Rocket Launchers ;122mm 9P138 Grad-1;;;;;;;;;;;;122mm 9P138 Grad-1;;
RU;Multiple Rocket Launchers ;122mm 2B26 Grad-K;;;;;;;;;;;;122mm 2B26 Grad-K;;
RU;Multiple Rocket Launchers ;122mm 2B17 Tornado-G;;;;;;;;;;;;122mm 2B17 Tornado-G;;
RU;Multiple Rocket Launchers ;MT-LB with 140mm Ogon-18 MRLS;;;;;;;;;;;;MT-LB with 140mm Ogon-18 MRLS;;
RU;Multiple Rocket Launchers ;220mm TOS-1A;;;;;;;;;;;;220mm TOS-1A;;
RU;Multiple Rocket Launchers ;220mm BM-27 Uragan;;;;;;;;;;;;220mm BM-27 Uragan;;
