,owner,origen,weapon,platform,total,number,Status,url
4435,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",KamAZ 6x6,22,1,['destroyed'],https://i.postimg.cc/fbMMYwct/10-10-2022-UA-Kamaz-6x6-destroyed.png
4436,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",KamAZ 6x6,22,2,['destroyed'],https://i.postimg.cc/4y2CCd1m/1007-kamaz6x6-destr.jpg
4437,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",KamAZ 6x6,22,3,['destroyed'],https://i.postimg.cc/BQtxtBxM/2022-02-26-UA-Kam-AZ.jpg
4438,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",KamAZ 6x6,22,4,['destroyed'],https://i.postimg.cc/c6GNfy1L/2001-Kam-AZ-6x6-destr-02-03-22.jpg
4439,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",KamAZ 6x6,22,5,['destroyed'],https://i.postimg.cc/Qtz2G1VB/1031-kamaz6x6-destr-21-06-22.jpg
4440,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",KamAZ 6x6,22,6,['destroyed'],https://twitter.com/naalsio26/status/1644181221830717440
4441,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",KamAZ 6x6,22,7,['destroyed'],https://i.postimg.cc/sDDyzPWP/373.png
4442,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",KamAZ 6x6,22,8,['destroyed'],https://i.postimg.cc/76B5VmYh/2013-Kam-AZ-6x6-destr-01-06-22.jpg
4443,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",KamAZ 6x6,22,9,['destroyed'],https://i.postimg.cc/XY7dcFJR/2008-Kam-AZ-6x6-tanker-23-05-22.jpg
4444,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",KamAZ 6x6,22,10,['destroyed'],https://i.postimg.cc/qqmJmgNx/2002-kamaz6x6-destr-20-06-22.jpg
4445,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",KamAZ 6x6,22,11,['destroyed'],https://i.postimg.cc/8C5tCgVZ/2012-Kam-AZ-6x6-destr-02-07-23.jpg
4446,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",KamAZ 6x6,22,12,['destroyed'],https://i.postimg.cc/1RVL5bNs/3277.png
4447,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",KamAZ 6x6,22,13,['destroyed'],https://i.postimg.cc/J4RXX01Z/3362.png
4448,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",KamAZ 6x6,22,1,['damaged'],https://i.postimg.cc/tJHJYQBt/2022-09-21-UA-Kam-AZ-damaged-Mykolaiv.jpg
4449,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",KamAZ 6x6,22,1,"['damaged', 'captured']",https://i.postimg.cc/yx42BBdm/u1.png
4450,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",KamAZ 6x6,22,2,['captured'],https://postimg.cc/zLGjfVk0
4451,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",KamAZ 6x6,22,3,['captured'],https://i.postimg.cc/2yMp268K/tt1.png
4452,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",KamAZ 6x6,22,4,['captured'],https://i.postimg.cc/cLZWjvBp/tt2.png
4453,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",KamAZ 6x6,22,5,['captured'],https://postimg.cc/yD5fb39R
4454,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",KamAZ 6x6,22,6,"['damaged', 'captured']",https://i.postimg.cc/Lsc0nTNL/2003-kamaz6x6-dam-capt-28-03-22.jpg
4455,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",KamAZ 6x6,22,7,['captured'],https://i.postimg.cc/bNGwntVm/2012-kamaz6x6-capt-04-03-22.jpg
4456,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",KamAZ 6x6,22,8,['captured'],https://i.postimg.cc/KYP5YYX1/2027-kamaz6x6-capt-25-07-22.jpg
4457,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",KamAZ 6x6 tanker,2,1,['destroyed'],https://i.postimg.cc/D0rnMvQc/44f2.png
4458,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",KamAZ 6x6 tanker,2,1,['captured'],https://i.postimg.cc/JzhDxCJz/2012-kamaz-tanker-capt-16-04-22.jpg
4459,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",MAZ-537,2,1,['destroyed'],https://i.postimg.cc/25RJZzWf/Screenshot-8076.png
4460,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",MAZ-537,2,2,['destroyed'],https://i.postimg.cc/Tw3W4kVd/2004-off-road-tractor-MAZ-537-destr-04-05-23.jpg
4461,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",MAZ-537,2,1,['captured'],https://i.postimg.cc/7LSW8dKp/35.png
4462,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",MAZ AC-8-500A Tanker,1,1,['destroyed'],https://i.postimg.cc/GmXZ5RDV/64.png
4463,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",MAZ-5336,1,1,['destroyed'],https://i.postimg.cc/XNch5GMx/329.png
